Resource,NENGREST_Fusion,Total
Zone,1,0
t359,140452.57507984276,140452.57507984276
t360,139094.0524864695,139094.0524864695
t361,139745.0818413354,139745.0818413354
t362,140960.4316445779,140960.4316445779
t363,142248.8660067096,142248.8660067096
t364,143492.35557580806,143492.35557580806
t365,143904.93948809162,143904.93948809162
t366,142368.86838068176,142368.86838068176
t367,140129.88853644248,140129.88853644248
t368,137890.90715204223,137890.90715204223
t369,135651.92709117665,135651.92709117665
t370,133580.7880427387,133580.7880427387
t371,133347.17765454247,133347.17765454247
t372,134114.1139802737,134114.1139802737
t373,134127.5428071268,134127.5428071268
t374,134082.82106548757,134082.82106548757
t375,131936.63484093882,131936.63484093882
t376,129697.65425986284,129697.65425986284
t377,127458.67331658695,127458.67331658695
t378,125219.69045635257,125219.69045635257
t379,122980.70914190114,122980.70914190114
t380,120741.72832510267,120741.72832510267
t381,118502.74807809562,118502.74807809562
t382,116263.76804091119,116263.76804091119
t383,114024.7882608898,114024.7882608898
t384,114686.8913302899,114686.8913302899
t385,116191.26844165311,116191.26844165311
t386,117695.64769701389,117695.64769701389
t387,119200.02813449368,119200.02813449368
t388,120704.40882220947,120704.40882220947
t389,122208.78995887541,122208.78995887541
t390,123502.82991378303,123502.82991378303
t391,121263.85200429583,121263.85200429583
t392,119024.87392400397,119024.87392400397
t393,116785.89570928202,116785.89570928202
t394,118290.27853087684,118290.27853087684
t395,119794.6811348477,119794.6811348477
t396,121299.08385055028,121299.08385055028
t397,122803.48643467907,122803.48643467907
t398,124307.85581196361,124307.85581196361
t399,124498.19918098679,124498.19918098679
t400,122259.21842278968,122259.21842278968
t401,120020.23572096684,120020.23572096684
t402,117781.25301097955,117781.25301097955
t403,115542.2721978952,115542.2721978952
t404,113303.29249587329,113303.29249587329
t405,111064.31490715989,111064.31490715989
t406,108836.60134244595,108836.60134244595
t407,107900.02365189705,107900.02365189705
t408,109404.45032199731,109404.45032199731
t409,110908.88527828171,110908.88527828171
t410,112413.32405973128,112413.32405973128
t411,113917.77292211993,113917.77292211993
t412,115422.22564889611,115422.22564889611
t413,116926.68133082407,116926.68133082407
t414,118431.135607217,118431.135607217
t415,119169.18242642115,119169.18242642115
t416,118136.21893969955,118136.21893969955
t417,121096.0824486962,121096.0824486962
t418,125096.07413346639,125096.07413346639
t419,129096.06647640774,129096.06647640774
t420,133096.0590084707,133096.0590084707
t421,137096.05153848612,137096.05153848612
t422,141096.04394998925,141096.04394998925
t423,145096.03608749827,145096.03608749827
t424,149096.02753230822,149096.02753230822
t425,150849.95868035356,150849.95868035356
t426,148610.98051786848,148610.98051786848
t427,146372.0009806994,146372.0009806994
t428,144133.02100461329,144133.02100461329
t429,141894.041402251,141894.041402251
t430,139655.06172239635,139655.06172239635
t431,137416.0821682962,137416.0821682962
t432,137328.28289437364,137328.28289437364
t433,138825.22897565246,138825.22897565246
t434,140329.60765796807,140329.60765796807
t435,141833.98594169854,141833.98594169854
t436,143338.36132701868,143338.36132701868
t437,144842.73222690914,144842.73222690914
t438,142603.75175544605,142603.75175544605
t439,140364.77071738066,140364.77071738066
t440,138125.78793325796,138125.78793325796
t441,135886.80799193674,135886.80799193674
t442,137560.75874269728,137560.75874269728
t443,139234.70474677888,139234.70474677888
t444,140908.65376141667,140908.65376141667
t445,142582.63178399004,142582.63178399004
t446,144256.61074742762,144256.61074742762
t447,145930.5897246523,145930.5897246523
t448,147604.56846389826,147604.56846389826
t449,145365.5945807413,145365.5945807413
t450,143126.61730107552,143126.61730107552
t451,140887.63789028765,140887.63789028765
t452,138648.6570980178,138648.6570980178
t453,136409.6743273629,136409.6743273629
t454,134170.69379658872,134170.69379658872
t455,132459.69309160148,132459.69309160148
t456,133518.09962967454,133518.09962967454
t457,135022.46992915132,135022.46992915132
t458,136526.84769532015,136526.84769532015
t459,138031.22690907007,138031.22690907007
t460,139535.60129141127,139535.60129141127
t461,140531.99148157812,140531.99148157812
t462,138295.0138968669,138295.0138968669
t463,136056.03517323564,136056.03517323564
t464,133817.05516460506,133817.05516460506
t465,135564.6926146248,135564.6926146248
t466,139563.1583900521,139563.1583900521
t467,143562.61444906873,143562.61444906873
t468,147562.07092759712,147562.07092759712
t469,151561.52740654367,151561.52740654367
t470,155560.9837192956,155560.9837192956
t471,159560.43916612217,159560.43916612217
t472,161816.9121296431,161816.9121296431
t473,160080.5650506782,160080.5650506782
t474,157841.58216664373,157841.58216664373
t475,155602.60035947105,155602.60035947105
t476,153363.6185120512,153363.6185120512
t477,151124.63672849187,151124.63672849187
t478,148885.6549561382,148885.6549561382
t479,146646.67340830926,146646.67340830926
t480,144407.6917977077,144407.6917977077
t481,142168.71003777045,142168.71003777045
t482,139929.72831508194,139929.72831508194
t483,137690.74665632698,137690.74665632698
t484,135451.76502193423,135451.76502193423
t485,133212.7835493046,133212.7835493046
t486,130973.80237720725,130973.80237720725
t487,128734.82146812594,128734.82146812594
t488,126495.84060508723,126495.84060508723
t489,124256.8603165155,124256.8603165155
t490,122017.88001753106,122017.88001753106
t491,120687.92721725571,120687.92721725571
t492,120749.68028983993,120749.68028983993
t493,121767.71090580673,121767.71090580673
t494,123223.50340023382,123223.50340023382
t495,124677.41426094498,124677.41426094498
t496,124689.2159913587,124689.2159913587
t497,122450.23545105313,122450.23545105313
t498,120211.25361724728,120211.25361724728
t499,117972.27208609306,117972.27208609306
t500,115733.29124149865,115733.29124149865
t501,113494.3111220652,113494.3111220652
t502,111255.33190849444,111255.33190849444
t503,109016.35431861703,109016.35431861703
t504,106812.17429042273,106812.17429042273
t505,106182.1968783132,106182.1968783132
t506,106977.90947128068,106977.90947128068
t507,108293.02533876243,108293.02533876243
t508,109521.72491841865,109521.72491841865
t509,110736.97148766484,110736.97148766484
t510,111719.41115884818,111719.41115884818
t511,111004.27165512012,111004.27165512012
t512,108765.35928807358,108765.35928807358
t513,110519.35627132587,110519.35627132587
t514,113620.95927926096,113620.95927926096
t515,116722.56250098959,116722.56250098959
t516,119824.16565574009,119824.16565574009
t517,122925.76830792843,122925.76830792843
t518,126027.32070900648,126027.32070900648
t519,127781.2881171723,127781.2881171723
t520,125542.32614582317,125542.32614582317
t521,123303.34639255771,123303.34639255771
t522,121064.36360779793,121064.36360779793
t523,118825.38051523012,118825.38051523012
t524,116586.39815053582,116586.39815053582
t525,114347.41603377099,114347.41603377099
t526,112108.43434289645,112108.43434289645
t527,109869.452762388,109869.452762388
t528,107630.47116342126,107630.47116342126
t529,105391.48956815393,105391.48956815393
t530,103152.50826530224,103152.50826530224
t531,100913.52713661875,100913.52713661875
t532,98674.54610376993,98674.54610376993
t533,96435.56510143331,96435.56510143331
t534,94196.58414646484,94196.58414646484
t535,91957.6031812057,91957.6031812057
t536,89718.6222986573,89718.6222986573
t537,87479.64141368213,87479.64141368213
t538,85240.65996539508,85240.65996539508
t539,83001.68046978058,83001.68046978058
t540,80762.70105826773,80762.70105826773
t541,78523.71967724114,78523.71967724114
t542,76284.73824745422,76284.73824745422
t543,74045.75877820869,74045.75877820869
t544,71806.77752441366,71806.77752441366
t545,69567.79665724418,69567.79665724418
t546,67328.81558553051,67328.81558553051
t547,65089.83474894541,65089.83474894541
t548,62850.85471921035,62850.85471921035
t549,60611.87556273944,60611.87556273944
t550,58372.89772937741,58372.89772937741
t551,58626.95202751966,58626.95202751966
t552,60131.350138611655,60131.350138611655
t553,61635.75154178618,61635.75154178618
t554,63140.15649669972,63140.15649669972
t555,64644.5624144841,64644.5624144841
t556,66148.97116255068,66148.97116255068
t557,67653.38171791012,67653.38171791012
t558,69157.79533769474,69157.79533769474
t559,68956.7375640556,68956.7375640556
t560,66717.83960640845,66717.83960640845
t561,68471.8033304874,68471.8033304874
t562,72471.79460912682,72471.79460912682
t563,76471.78665352051,76471.78665352051
t564,80471.77896919745,80471.77896919745
t565,84471.77126437616,84471.77126437616
t566,88471.76346655804,88471.76346655804
t567,92471.7554119282,92471.7554119282
t568,96471.74670182653,96471.74670182653
t569,98225.67317452986,98225.67317452986
t570,95986.69332758951,95986.69332758951
t571,93747.71355149038,93747.71355149038
t572,91508.73364054025,91508.73364054025
t573,89269.75368300329,89269.75368300329
t574,87030.77373678543,87030.77373678543
t575,84791.79422718988,84791.79422718988
t576,84394.71443794774,84394.71443794774
t577,85899.09353934819,85899.09353934819
t578,87403.47293283886,87403.47293283886
t579,88907.85266871075,88907.85266871075
t580,90412.2310262252,90412.2310262252
t581,91916.61041172016,91916.61041172016
t582,93420.99030703821,93420.99030703821
t583,91182.00851176301,91182.00851176301
t584,88943.02516727093,88943.02516727093
t585,90696.98367101443,90696.98367101443
t586,94408.02199515188,94408.02199515188
t587,98366.7475655943,98366.7475655943
t588,102325.48427713398,102325.48427713398
t589,106284.22106922952,106284.22106922952
t590,110242.95780680551,110242.95780680551
t591,114201.6943646753,114201.6943646753
t592,116058.5554425749,116058.5554425749
t593,114104.1588149501,114104.1588149501
t594,111865.17671006497,111865.17671006497
t595,109626.19530628959,109626.19530628959
t596,107387.21372589548,107387.21372589548
t597,105148.23218251365,105148.23218251365
t598,102909.25057096386,102909.25057096386
t599,100670.26917948088,100670.26917948088
t600,98431.28772461101,98431.28772461101
t601,96192.30630058316,96192.30630058316
t602,93953.32491271687,93953.32491271687
t603,91714.34370408015,91714.34370408015
t604,89475.3626120458,89475.3626120458
t605,87236.38158396758,87236.38158396758
t606,84997.40074594846,84997.40074594846
t607,82758.42029151865,82758.42029151865
t608,80519.43995788287,80519.43995788287
t609,78280.45996610109,78280.45996610109
t610,77639.27429027465,77639.27429027465
t611,78578.88380224594,78578.88380224594
t612,79633.21411990398,79633.21411990398
t613,79541.50372140174,79541.50372140174
t614,78279.57893190258,78279.57893190258
t615,76040.59748314218,76040.59748314218
t616,73801.61571077707,73801.61571077707
t617,71562.63336206914,71562.63336206914
t618,69323.64964568491,69323.64964568491
t619,67084.66583744214,67084.66583744214
t620,64845.683049296655,64845.683049296655
t621,62606.70088241482,62606.70088241482
t622,60367.71944740884,60367.71944740884
t623,58128.739059658714,58128.739059658714
t624,59015.56031335563,59015.56031335563
t625,60519.937300969745,60519.937300969745
t626,62024.31682938951,62024.31682938951
t627,63528.696832821486,63528.696832821486
t628,65033.07724823148,65033.07724823148
t629,66537.45812404968,66537.45812404968
t630,68041.83603782165,68041.83603782165
t631,66176.99443421111,66176.99443421111
t632,63938.016083409704,63938.016083409704
t633,61699.03749130886,61699.03749130886
t634,59460.05884382867,59460.05884382867
t635,57249.19516843196,57249.19516843196
t636,55076.39490706018,55076.39490706018
t637,53070.16533612737,53070.16533612737
t638,52352.537280282995,52352.537280282995
t639,51205.96575822861,51205.96575822861
t640,48966.98478851001,48966.98478851001
t641,46728.00351361987,46728.00351361987
t642,44489.020799254606,44489.020799254606
t643,42250.038088870744,42250.038088870744
t644,40011.05701088035,40011.05701088035
t645,37772.077148720375,37772.077148720375
t646,35533.09899505356,35533.09899505356
t647,35365.476624315364,35365.476624315364
t648,37992.867827653885,37992.867827653885
t649,40620.29526698847,40620.29526698847
t650,43247.75933139516,43247.75933139516
t651,45875.22394543077,45875.22394543077
t652,48502.688631128556,48502.688631128556
t653,51130.153128096325,51130.153128096325
t654,53757.61681414329,53757.61681414329
t655,55511.58978046907,55511.58978046907
t656,53272.70641559954,53272.70641559954
t657,54777.12423230878,54777.12423230878
t658,56281.53109270926,56281.53109270926
t659,57785.93967007046,57785.93967007046
t660,59290.34525074252,59290.34525074252
t661,60794.754010725475,60794.754010725475
t662,62299.158920001544,62299.158920001544
t663,63803.5613186151,63803.5613186151
t664,65307.95853211787,65307.95853211787
t665,66812.34107750008,66812.34107750008
t666,64573.35867566044,64573.35867566044
t667,62334.376120054425,62334.376120054425
t668,60095.395578610376,60095.395578610376
t669,57856.41734757224,57856.41734757224
t670,58112.95186558532,58112.95186558532
t671,61058.041516430625,61058.041516430625
t672,63369.60066130741,63369.60066130741
t673,67368.84840073058,67368.84840073058
t674,71368.4416753583,71368.4416753583
t675,75368.10463601336,75368.10463601336
t676,79367.81290498243,79367.81290498243
t677,83367.55641238201,83367.55641238201
t678,87367.32988541939,87367.32988541939
t679,91367.1374700217,91367.1374700217
t680,95366.97558555804,95366.97558555804
t681,99366.96774916022,99366.96774916022
t682,103366.96054560819,103366.96054560819
t683,107366.95363558989,107366.95363558989
t684,111366.94681565298,111366.94681565298
t685,115366.9398743994,115366.9398743994
t686,119366.93275706966,119366.93275706966
t687,123366.92529668756,123366.92529668756
t688,127366.9170635845,127366.9170635845
t689,130179.55821885854,130179.55821885854
t690,128999.25335678739,128999.25335678739
t691,126760.27130638783,126760.27130638783
t692,124521.2893275367,124521.2893275367
t693,122282.3070174478,122282.3070174478
t694,120043.325330566,120043.325330566
t695,117804.34511279369,117804.34511279369
t696,118769.55499878986,118769.55499878986
t697,120273.93676184252,120273.93676184252
t698,121778.31897284678,121778.31897284678
t699,123282.70165971293,123282.70165971293
t700,124787.08324662157,124787.08324662157
t701,126291.4664124016,126291.4664124016
t702,127795.84254152291,127795.84254152291
t703,125556.87167286388,125556.87167286388
t704,123317.9023237304,123317.9023237304
t705,125071.83265611707,125071.83265611707
t706,129071.81520049923,129071.81520049923
