,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t5033,14908.061309702396,0.007689448213178065,-0.005519137208447082,99.64764629959706,-232.39112227861918,5.644768863520598e-5,1.1116293803253206e-5,0.0,0.0,-14775.0
t5034,14979.28555463038,0.028809571373175323,-0.003713851500145582,111.61600306166444,-111.60665131001569,5.71823212703554e-5,1.119550170451362e-5,0.0,0.0,-14979.0
t5035,13883.577745512892,909.1032925505876,-0.0032436435755518953,129.07751080276702,-27.435304898160894,5.7502187124910476e-5,1.122617066414825e-5,0.0,0.0,-14894.0
t5036,13040.385739020448,1529.8842751157356,-0.0035077959283909958,145.3413114503698,-33.28781746820433,5.7198418561355325e-5,1.1038681147582702e-5,0.0,0.0,-14682.0
t5037,12830.282258104451,1874.1038476904805,-0.003539090622965205,146.95529883260372,-9.017864082386586,5.711246635770381e-5,1.1040807364871082e-5,0.0,0.0,-14842.0
t5038,12934.423128299206,1359.7795499979975,-0.0035285308650936237,142.60527102242452,-32.48441991453983,5.6953083345569705e-5,1.1105668237488833e-5,0.0,0.0,-14404.0
t5039,12779.647248883995,430.75095387707466,-0.0034735918900448133,131.81530582148713,-26.8900343638688,5.661911309335656e-5,1.121796341265283e-5,0.0,0.0,-13315.0
t5040,12155.51042810151,0.041923865222365096,-0.003887081723840594,120.09424760097362,-145.32270944114444,5.5801162880817764e-5,1.1286518210778027e-5,0.0,0.0,-12130.0
t5041,11369.975632434207,0.006435668964057233,-0.00799686098132026,85.04144047026469,-259.69550512420517,5.44142138776627e-5,1.1134245146534395e-5,0.0,0.0,-11195.0
t5042,10721.028108149261,0.006865201744542817,-0.007540741761584631,81.49251781376972,-189.19994463390285,5.438725760527012e-5,1.127661142758146e-5,0.0,0.0,-10613.0
t5043,10316.011293242469,0.007009508520553209,-0.007737341751010132,85.61232399986429,-118.30288246246195,5.419668271849527e-5,1.1298579003269803e-5,0.0,0.0,-10283.0
t5044,10135.229655699995,0.007433571733934952,-0.007016804278691844,100.474052686745,-86.38411932954652,5.446162700475701e-5,1.1427796325332756e-5,0.0,0.0,-10149.0
t5045,10319.356739597171,0.007199944613486671,-0.008329969781480527,102.56394089282546,-61.599545013169234,5.464327179731504e-5,1.1456223848200738e-5,0.0,0.0,-10360.0
t5046,10914.709872030056,0.006782867081114019,-0.008146707692104778,108.75387085677741,-38.142372296078825,5.483930458900328e-5,1.1217706860030813e-5,0.0,0.0,-10985.0
t5047,12121.80858620873,0.008314740130706343,-0.007298805911699694,120.80340195567791,-40.29299956502864,5.616478548057193e-5,1.1271383734359197e-5,0.0,0.0,-12202.0
t5048,14031.069838876763,0.004336511577433514,-63.09297243459863,92.01546112887401,-292.6766602830161,5.877901622331262e-5,1.1397145165473446e-5,0.0,0.0,-13767.0
t5049,15274.998311117452,0.003929399375897214,-74.76091446089058,98.05496709447834,-329.97628861878735,5.9114329172199694e-5,1.1298775581511387e-5,0.0,0.0,-14968.0
t5050,15862.826339909787,0.00682685889795522,-0.007744102847120224,115.10592271761399,-114.61134443392697,5.9646668468829685e-5,1.1265714305378554e-5,0.0,0.0,-15863.0
t5051,16561.155419981038,0.006842709797108576,-0.005144767159667432,134.5468784402568,-50.38399259360795,5.636759562141212e-5,1.123989856806846e-5,0.0,0.0,-16645.0
t5052,17174.67336900149,0.005929872013324605,-0.0054401928789534265,131.27754420705418,-89.63139743576303,5.618254700007551e-5,1.1210461681132527e-5,0.0,0.0,-17216.0
t5053,17586.38299325202,0.006821597046954926,-0.004406011250782889,137.1320119995575,-79.19741688384246,5.666140988234764e-5,1.1235533072092468e-5,0.0,0.0,-17644.0
t5054,18106.939010027963,0.006476538974963697,-0.004520786749084403,133.55820885345224,-123.1791712416367,5.6877895473820784e-5,1.1285949163362871e-5,0.0,0.0,-18117.0
t5055,18438.876969257348,0.006580969653185764,-0.004275820586424735,132.63379547596375,-146.19306591406112,5.734817771973428e-5,1.1372570995377813e-5,0.0,0.0,-18425.0
t5056,18642.65382042965,0.006773780948964619,-0.004442722248008341,130.96706715710445,-179.30321518010786,5.72230319070863e-5,1.1228082471599193e-5,0.0,0.0,-18594.0
t5057,18872.041910227046,0.006433091906408116,-0.00494770129095655,127.7925448771946,-260.51593775467666,5.7584009881009113e-5,1.1351790678139234e-5,0.0,0.0,-18739.0
t5058,18634.259939958145,0.02378691056927552,-0.00307331828771427,138.93576544715637,-138.8964178829368,5.804312530546947e-5,1.144616597713478e-5,0.0,0.0,-18634.0
t5059,18077.265020203144,0.03613834829694676,-0.0029930431535849325,148.88624388476956,-90.86440854637819,5.7662291858940056e-5,1.1120539389711888e-5,0.0,0.0,-18135.0
t5060,14981.393097643024,2304.067561291978,-0.000187416829573961,172.85971007099513,-0.0002319110471182478,8.087735596349874e-5,1.1690949354640953e-5,0.0,0.0,-17458.0
t5061,15093.248461099629,2034.841850043347,-0.002580542339345013,171.25327003815048,-0.02099859523360765,5.6584396951384075e-5,1.0535432679492146e-5,0.0,0.0,-17299.0
t5062,15731.209160877996,613.7065410879521,-0.003053992128309804,163.4350207293753,-0.027667486079025194,5.660079347445521e-5,1.1014771782920128e-5,0.0,0.0,-16508.0
t5063,14873.638529261456,0.04323457510755363,-0.0028736811200231987,147.36436639685368,-135.7232574742942,5.806269103351449e-5,1.1252511987449549e-5,0.0,0.0,-14885.0
t5064,13251.923098391768,0.04865435176646177,-0.0028117075266429863,131.54430490412554,-95.19324558649504,5.764963869901066e-5,1.1423925599254064e-5,0.0,0.0,-13288.0
t5065,12179.438652015642,0.030972487029657828,-0.003038196271206771,120.07333677451312,-171.2199223271458,5.705765586712368e-5,1.155516054948003e-5,0.0,0.0,-12128.0
t5066,11610.16868591047,0.007201189580315228,-0.004859754431658607,87.34966536944864,-290.2006884943842,5.566903625912243e-5,1.1358472672440881e-5,0.0,0.0,-11407.0
t5067,11065.792460510229,0.007207604085084959,-0.004874519467232334,88.01691365229793,-173.49170173696885,5.543653818581225e-5,1.14048497960683e-5,0.0,0.0,-10980.0
t5068,10778.761808322852,0.007616318343387083,-0.004685630898391427,106.5918531064119,-118.03658716526634,5.536381717345019e-5,1.1430709815075382e-5,0.0,0.0,-10767.0
t5069,10866.837371860744,0.008098024980361341,-0.004434074595913774,107.87745437235706,-78.39848578426376,5.548048331861407e-5,1.142902776233519e-5,0.0,0.0,-10896.0
t5070,11432.544387825337,0.008990611616206696,-0.0041124256251466726,113.83744281159598,-49.06670352683726,5.5850018439019363e-5,1.1423786616999547e-5,0.0,0.0,-11497.0
t5071,12592.270650175089,0.01541656054098106,-0.0033487847573080896,125.62748570738727,-28.59019922426643,5.611991697848304e-5,1.1171986384330564e-5,0.0,0.0,-12689.0
t5072,14140.567457611738,0.006606960484097559,-0.009163282261500703,140.34517635870833,-106.59007389211236,5.816589625584803e-5,1.1316117301017293e-5,0.0,0.0,-14174.0
t5073,15556.325780960366,0.003005075972600223,-244.90507872786083,123.26419010527411,-200.36788678972906,5.714934770971785e-5,1.1152232477287325e-5,0.0,0.0,-15234.0
t5074,16978.084770015957,0.0032158078648184705,-949.2955658620986,125.34581159821165,-161.81822197157646,5.743482062284481e-5,1.111689028908853e-5,0.0,0.0,-15992.0
t5075,17974.32278703123,0.0032059222944098597,-1343.7797477070233,129.05195304779758,-112.27818721513792,5.5303579172606774e-5,1.142846763806839e-5,0.0,0.0,-16647.0
t5076,19255.64292600996,0.0030517839326406272,-1971.0128970716828,115.3458895821818,-349.65895742168436,5.4763327701739704e-5,1.1201251761227552e-5,0.0,0.0,-17050.0
t5077,19158.806297132134,0.0029333535409781382,-1819.8489757370503,121.22259554366256,-177.86283828584425,5.5017730141910784e-5,1.1262802466204016e-5,0.0,0.0,-17282.0
t5078,18517.48725327116,0.002897355355661991,-873.2446898525797,120.33491280039514,-220.2603621675914,5.5144054289043475e-5,1.1295888680610984e-5,0.0,0.0,-17544.0
t5079,17447.89258713277,0.012666823727079154,-0.003405760003454778,143.51355052115815,-44.09539449393705,5.702631098103748e-5,1.1405035575382055e-5,0.0,0.0,-17547.0
t5080,17352.45494385917,0.007847710751893286,-0.004194083498144652,125.72392612149574,-115.86252004829036,5.725331723709957e-5,1.1492759330121915e-5,0.0,0.0,-17362.0
t5081,17290.594187950628,0.006916766065311157,-0.004640333401126336,118.53860282188903,-227.81506314812916,5.632134570561361e-5,1.1331548938658127e-5,0.0,0.0,-17181.0
t5082,16992.27646836737,0.02786895477096989,-0.0037317803423034,127.78374794431421,-127.76435032040784,5.617098570122483e-5,1.1041931859010035e-5,0.0,0.0,-16992.0
t5083,15227.137361468134,1361.5037027055714,-0.0042927731982445325,141.43807627920768,-47.754845239635515,5.577408019930278e-5,1.0942417704322948e-5,0.0,0.0,-16682.0
t5084,14361.100229818358,1924.3920098165088,-0.0029046479653877253,162.83535344595887,-0.004689646808883338,5.642369871794343e-5,1.0980304063899315e-5,0.0,0.0,-16448.0
t5085,14591.437830002638,1799.0049509290357,-0.004106851378834994,163.89228373505642,-0.010956006394550464,5.59480255335825e-5,1.1086791980974371e-5,0.0,0.0,-16554.0
t5086,14040.636161986777,1667.5459513990584,-0.005730504040803621,156.56521350820123,-51.42159502626167,5.679755833624202e-5,1.0881418438493495e-5,0.0,0.0,-15813.0
t5087,13579.06495352922,751.6698684609825,-0.005594662839809223,142.88523572122008,-42.29446229630122,5.660416632272956e-5,1.1101860912401046e-5,0.0,0.0,-14431.0
t5088,13116.623028108957,0.023515096091469925,-0.006604156107241111,129.53416225967868,-162.85409863655676,5.608234046670137e-5,1.1232410633732108e-5,0.0,0.0,-13083.0
t5089,12110.702038733585,0.0166768992110668,-0.007296685142385735,119.46341349154146,-163.85482973067172,5.570996879288719e-5,1.1313300123583087e-5,0.0,0.0,-12066.0
t5090,11619.224346881556,0.005098829037037029,-2.7101569121540554,85.2183077656233,-275.4175909786964,5.4722915016884374e-5,1.1389153369312373e-5,0.0,0.0,-11426.0
t5091,11118.877330121348,0.005443467180374182,-2.698460040919978,81.88176446074581,-160.7460713032347,5.458067900630318e-5,1.1256499168717427e-5,0.0,0.0,-11037.0
t5092,10971.67184022404,0.005570944847304836,-2.3596514353426588,79.00353856971088,-173.0012926310404,5.4774915698943694e-5,1.1359428088178086e-5,0.0,0.0,-10875.0
t5093,11066.304934234015,0.005527454113251619,-2.415447374073789,82.48563853947343,-101.06064788815416,5.4969833967309356e-5,1.138929547492251e-5,0.0,0.0,-11045.0
t5094,11735.968198016264,0.005360001660830158,-2.7761843260886407,88.61610615326818,-87.4934741438034,5.537796311442345e-5,1.1374048879450346e-5,0.0,0.0,-11734.0
t5095,12983.710672200854,0.005643522851677125,-2.37469656965838,97.20114775604645,-104.22276220874093,5.598776996038877e-5,1.1327320240614819e-5,0.0,0.0,-12974.0
t5096,14491.765131815615,0.005653176006481121,-2.290658566440806,110.94693870876155,-93.10706042071895,5.591724161414819e-5,1.1026104019852933e-5,0.0,0.0,-14507.0
t5097,15637.50082622983,0.005992169589995691,-1.8668661815316503,118.4584299933216,-110.77837867548406,5.8057353501995054e-5,1.1200588726783616e-5,0.0,0.0,-15643.0
t5098,16576.640000105734,0.006029661687820935,-1.6480898208362773,125.45688902038432,-115.13482335523024,5.547177590639871e-5,1.1181208831956575e-5,0.0,0.0,-16585.0
t5099,17411.719656529345,0.0058221595802249336,-1.6769106581174562,129.90261088069377,-121.63117380374193,5.5597016910215974e-5,1.111103464420068e-5,0.0,0.0,-17418.0
t5100,18030.098871608767,0.005728689621127848,-1.6807990784585618,131.9695382942007,-132.0733335828469,5.5937336928855214e-5,1.1146615661161142e-5,0.0,0.0,-18028.0
t5101,18520.79281130859,0.005782001873642122,-1.5917583073945387,131.26328625554038,-163.15011542791243,5.5547930344245654e-5,1.0955874002827774e-5,0.0,0.0,-18487.0
t5102,19069.156419932162,0.0056046360806149996,-1.8188864951386172,125.19066613614696,-298.2137993404547,5.604312609239586e-5,1.1105656176822204e-5,0.0,0.0,-18894.0
t5103,19031.270155913564,0.01673886718381378,-0.0056242809870942646,136.5269627463989,-136.48823072685622,5.712924432584932e-5,1.1259297602115824e-5,0.0,0.0,-19031.0
t5104,18852.308370222403,0.022833813382540924,-0.005679760577271563,136.2650837892253,-136.27060503188474,5.6176150508578486e-5,1.0859854691643494e-5,0.0,0.0,-18852.0
t5105,18697.25492927504,0.0495415719563101,-0.0057190093741469735,139.5321695505294,-139.51091894614873,5.5840354663662256e-5,1.0920382213955115e-5,0.0,0.0,-18697.0
t5106,17522.76305288036,873.3481224879157,-0.00587509293967112,154.63680831213134,-79.4221040018278,5.506051178816772e-5,1.0448111614455773e-5,0.0,0.0,-18471.0
t5107,15566.58627173251,2304.043499951039,-0.0028929032469337335,178.6964796400637,-0.003358474330276663,5.585509128689283e-5,1.0583330438660358e-5,0.0,0.0,-18049.0
t5108,15588.347038522816,1891.1955581514283,-0.0035931482630051715,174.78543328664992,-0.0044365262838118496,5.5546453873785106e-5,1.0787728191181916e-5,0.0,0.0,-17654.0
t5109,15613.967728679825,1893.2940097737799,-0.0035321147669695086,175.06625101039467,-0.004456399442906039,5.569874134591347e-5,1.0922192349319454e-5,0.0,0.0,-17682.0
t5110,15523.866418401842,1368.5842536696118,-0.006723700079171642,168.16513636993068,-75.28908136902342,5.500216017944107e-5,1.1318807337295116e-5,0.0,0.0,-16985.0
