Segment,1,2,3,4,Total
t109,1.1103284367779428e-5,1.001250457748641e-5,1.3765163011051587e-5,3.383537519552929e-5,1.1103284367779428e-5
t110,1.1219934487013792e-5,1.0033056383959607e-5,1.3898291633216362e-5,3.404209718035233e-5,1.1219934487013792e-5
t111,1.1194901541954834e-5,9.990647306054262e-6,1.3658494497258788e-5,3.388187382685421e-5,1.1194901541954834e-5
t112,1.1150139807867814e-5,9.918665944776522e-6,1.4214900467415854e-5,3.166693278644972e-5,1.1150139807867814e-5
t113,1.139127652362899e-5,9.891044138335789e-6,1.3700963013572577e-5,3.3336529233164204e-5,1.139127652362899e-5
t114,1.1290919384487897e-5,9.912516567783157e-6,1.3781782066804382e-5,3.307794330779625e-5,1.1290919384487897e-5
t115,1.1224369968234608e-5,9.908234214083038e-6,1.3705305943688266e-5,3.318455430385758e-5,1.1224369968234608e-5
t116,1.1395329885887668e-5,1.037686827929026e-5,1.4715755295261873e-5,4.624006930409209e-5,1.1395329885887668e-5
t117,1.1159816683767103e-5,9.853843060873527e-6,1.352100066232465e-5,3.3237385225344015e-5,1.1159816683767103e-5
t118,1.1206302007575648e-5,9.937781810634328e-6,1.4000484376502862e-5,3.351858462729438e-5,1.1206302007575648e-5
t119,1.141334600939509e-5,9.918148098650834e-6,1.3874111904735381e-5,3.4430709018490316e-5,1.141334600939509e-5
t120,1.1286062905147545e-5,9.639514833930682e-6,1.3069198740006617e-5,3.1107579426458134e-5,1.1286062905147545e-5
t121,1.1114574288629876e-5,9.482028798750519e-6,1.2693659057420378e-5,3.104856444756591e-5,1.1114574288629876e-5
t122,1.1159447741049114e-5,9.41133177589578e-6,1.2545153017939209e-5,3.1018831822610324e-5,1.1159447741049114e-5
t123,1.119015738096468e-5,9.36786048645859e-6,1.2460241042908003e-5,3.113318307988132e-5,1.119015738096468e-5
t124,1.1327358971050808e-5,9.499736077360901e-6,1.277014249372287e-5,3.432531688128248e-5,1.1327358971050808e-5
t125,1.1316670927946146e-5,9.529427009926204e-6,1.2812202831349532e-5,3.4165024233960984e-5,1.1316670927946146e-5
t126,1.1009794241682026e-5,9.658293651495836e-6,1.3088612100594915e-5,3.3811218550786876e-5,1.1009794241682026e-5
t127,1.1039620294542131e-5,9.8881760467866e-6,1.3762341677502997e-5,3.400297196795787e-5,1.1039620294542131e-5
t128,1.158499051627243e-5,1.0460556276091144e-5,1.541890042210169e-5,4.548619185381106e-5,1.158499051627243e-5
t129,1.1218000395334818e-5,1.007965562873942e-5,1.465365469923976e-5,3.4391254731880456e-5,1.1218000395334818e-5
t130,1.1527575116803691e-5,1.0284376357390589e-5,1.4764811187836503e-5,3.7562537858488654e-5,1.1527575116803691e-5
t131,1.1186697940106185e-5,1.0108633336222939e-5,1.4323441433435488e-5,3.425927079288302e-5,1.1186697940106185e-5
t132,1.1176996827618863e-5,1.0102446892616168e-5,1.426141893913878e-5,3.4383848202998966e-5,1.1176996827618863e-5
t133,1.082383128311511e-5,9.682629233561648e-6,1.3291973636695478e-5,2.813888413776722e-5,1.082383128311511e-5
t134,1.0912736813449792e-5,9.66574264336827e-6,1.3199726928108293e-5,2.8153293433988435e-5,1.0912736813449792e-5
t135,1.0775278885490245e-5,9.536524127456315e-6,1.332753617449197e-5,2.596340245066708e-5,1.0775278885490245e-5
t136,1.105340257126347e-5,9.861538104363098e-6,1.4009475470998253e-5,3.0994053598320974e-5,1.105340257126347e-5
t137,1.1126740235544757e-5,1.0071043974388798e-5,1.4600416062694413e-5,3.38472040293537e-5,1.1126740235544757e-5
t138,1.1900279808498018e-5,1.084975285324725e-5,1.603052543500889e-5,6.153093707816093e-5,1.1900279808498018e-5
t139,1.1197787227504235e-5,9.921182364248753e-6,1.3688891975422768e-5,3.2439699828361696e-5,1.1197787227504235e-5
t140,1.1359662417150039e-5,1.0087501767136113e-5,1.4647239777394263e-5,3.403493371446104e-5,1.1359662417150039e-5
